S.No.,NameIndianParty,NameJV/WOS,IfJV/WOS,OversCountry,MajorActivity,Equity,Loan,GurIssu,Total
1,AA INFRAPROPERTIES PVT LTD,INDOCEAN DEVELOPERS PVT LTD.,WOS,SRI LANKA,CONSTRUCTION,0,0,9.95,9.95
2,AAHANA INNOVATIONS,ROYAL KIDS KINGDOM LLC,JV,UNITED ARAB EMIRATES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.0191,0,0,0.0191
3,AAYANA MARBLES PRIVATE LIMITED,AAYANA MINERALS FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.25,0,0.25
4,ABAN OFFSHORE LTD,ABAN HOLDINGS P LTD,WOS,SINGAPORE,AGRICULTURE AND MINING,0,0,2.914,2.914
5,ABELLON CLEANENERGY LIMITED,ABELLON CLEANENERGY GHANA LIMITED,WOS,GHANA,"ELECTRICITY, GAS AND WATER",0.1674,0,0,0.1674
6,ABG SHIPYARD LTD,ABG SHIPYARD SINGAPORE PTE. LTD.,WOS,SINGAPORE,MANUFACTURING,0,0,0,0
7,ACCUTEST RESEARCH LABORATORIES INDIA PRIVATE LIMITED,ACCUTEST RESEARCH LABORTORIES NETHERLANDS B.V.,WOS,NETHERLANDS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0949,0,0,0.0949
8,ACME SOLAR HOLDINGS PRIVATE LIMITED,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,WOS,SINGAPORE,"ELECTRICITY, GAS AND WATER",0.0075,0,0,0.0075
9,ACRYCOL MINERALS LIMITED,ACRYCOL SINGAPORE PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.3098,0,0,0.3098
10,ACRYSIL LIMITED,ACRYSIL UK LIMITED,WOS,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.3098,0,0.3098
11,ACULIFE HEALTHCARE PRIVATE LIMITED,AURANTIS INDUSTRIA FARMACEUTICA LTDA,JV,BRAZIL,MANUFACTURING,0,0.05,0,0.05
12,AD2PRO MEDIA SOLUTIONS P LTD,TECHLUXE LTD,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0.1549,0.1549
13,ADANI  WELSPUN  EXPLORATION  LIMITED ,AWEL GLOBAL LIMITED,WOS,UNITED ARAB EMIRATES,AGRICULTURE AND MINING,0,0.0027,0,0.0027
14,ADFACTORS PR INDIA LTD,ADFACTORS PR PTE LTD,WOS,SINGAPORE,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.035,0,0,0.035
15,ADP PACKAGING PVT LTD,ADP FLEXIPACK MANUFACTURING PLC,JV,ETHIOPIA,MANUFACTURING,0.2,0,0,0.2
16,AERO CLUB,WOODLAND CIS RUSSIA,WOS,RUSSIA,MANUFACTURING,0.075,0,0,0.075
17,AFCONS INFRASTRUCTURE LTD,AFCONS CONSTRUCTION MIDDLE EAST LLC,JV,UNITED ARAB EMIRATES,CONSTRUCTION,0,0.0784,0,0.0784
18,AFRICA VIEW LIMITED,AFRICA VIEW FZE,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0,0.012,0,0.012
19,AKAY FLAVOURS & AROMATICS PVT LTD,AKAY FLAVOURS & AROMATICS (COMBODIA) PVT LTD,WOS,CAMBODIA,MANUFACTURING,0.25,0,0,0.25
20,AKSH OPTIFIBRE LIMITED,AOL FZE,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.1,0,0.1
21,ALGOWORKS TECHNOLOGIES PRIVATE LIMITED,"ALGOWORKS SOLUTIONS, INC.",WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1,0,0,0.1
22,ALIVIRA ANIMAL HEALTH LTD,ALIVIRA ANIMAL HEALTH LTD,WOS,IRELAND,MANUFACTURING,0,0.8,0,0.8
23,ALKEM LABORATORIES LIMITED,ASCEND LABORATORIES SPA,WOS,CHILE,MANUFACTURING,0,0,4,4
24,ALL WAYS LOGISTICS INDIA PVT LTD,CARGOSAVVY PTE LTD,JV,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.036,0,0,0.036
25,ALOK INDUSTRIES LTD,ALOK INTERNATIONAL INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,1.8,0,1.8
26,ALTUS LEARNING PRIVATE LIMITED,CALORX INTERNATIONAL FZC,WOS,UNITED ARAB EMIRATES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0.0997,0,0.0997
27,AMEYA COMMERCIAL PROJECTS PRIVATE LIMITED,AMEYA HOLDINGS INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.15,0,0,0.15
28,AMISHA FINCAP PVT LTD,UNIQUE MOLDING (MAURITIUS) LTD,WOS,MAURITIUS,AGRICULTURE AND MINING,0.015,0,0,0.015
29,ANIKET KAWADE,GRAND SHOWBIZ MEDIA AND ENTERTAINMENT LTD,JV,UNITED KINGDOM,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0,0,0
30,ANISH VINOD AGRAWAL,PHOENIX INDUSTRIES PRIVATE LIMITED COMPANY,JV,ETHIOPIA,MANUFACTURING,0.014,0,0,0.014
31,ANKIT JAINI,ALIEN ADVENTURE PTE LTD,JV,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0007,0,0,0.0007
32,ANKUR SCIENTFIC ENERGY TECHNOLOGIES PVT LTD,FUTURE ENERGY PVT LTD,JV,SRI LANKA,"ELECTRICITY, GAS AND WATER",0.05,0,0,0.05
33,ANURAG MEHROTRA,ALIEN ADVENTURE PTE LTD,JV,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0003,0,0,0.0003
34,APEEJAY PRIVATE LIMITED,APEEJAY HOTELS (PANAMA) INC,WOS,PANAMA,CONSTRUCTION,0.0982,0,0,0.0982
35,APEEJAY SHIPPING LIMITED,SURENDRA OVERSEAS (PANAMA ) INC,WOS,PANAMA,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.56,0,0.56
36,APEEJAY TEA LTD,M/S APEEJAY TEA (PANAMA) INC.,WOS,PANAMA,MANUFACTURING,0,1.5489,0,1.5489
37,ARIHANT ENTERPRISES,PT ASIA PACIFIC COAL,WOS,INDONESIA,AGRICULTURE AND MINING,0.05,0,0,0.05
38,ARPEO DATA RESEARCH PRIVATE LIMITED,WHITECROW RESEARCH INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.05,0,0,0.05
39,ARVIND BRANDS AND RETAIL LIMITED,ARVIND LIFESTYLE APPAREL MANUFACTURING PLC,WOS,ETHIOPIA,MANUFACTURING,0.45,0,0,0.45
40,ASHISH SUBHASH DANDEKAR,"CFS ANTIOXIDANTES DE MEXICO, S. A. DE C.V.",WOS,MEXICO,MANUFACTURING,0.0001,0,0,0.0001
41,ASHOK KUMAR BHARTIA,GARBON ECO WOOD ZERP,WOS,GABON,MANUFACTURING,0.0109,0,0,0.0109
42,ASHOK VISHINDAS MOTIANI,GLOBAL FRESH INTERNATIONAL,JV,NETHERLANDS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0004,0,0,0.0004
43,ASTER DM HEALTHCARE PVT LTD,AFFINITY HOLDINGS PVT. LTD.,WOS,MAURITIUS,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,7,0,7
44,AURIONPRO SOLUTIONS LTD.,"AURIONPRO SOLUTIONS SPC , MANAMA , BAHRAIN",WOS,BAHRAIN,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.55,0,0.55
45,AVANTHA BUSINESS SOLUTIONS LIMITED,AVANTHA BUSINESS SOLUTIONS HOLDING INC.,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.06,0,0,0.06
46,AVEKSHAA TECHNOLOGIES PVT LTD,AVEKSHAA TECHNOLOGIES LLC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.01,0,0,0.01
47,AVIN SYSTEMS PRIVATE LIMITED,AVIN SYSTEMS GMBH,WOS,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0028,0,0,0.0028
48,BALAJI GROUP,BALAJI GROUP LLC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.4,0,0,0.4
49,BEENA BAPU BHOSALE,ZAAMBEE INVESTMENT LTD,JV,ZAMBIA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0144,0,0,0.0144
50,BERGER PAINTS INDIA LTD.,BERGER PAINTS (CYPRUS) LTD.,WOS,CYPRUS,MANUFACTURING,0.5,0,0,0.5
51,BERGER PAINTS INDIA LTD.,M/SLUSAKO TRADING LTD,WOS,CYPRUS,MANUFACTURING,0,0,17.5,17.5
52,BHARTIYA INTERNATIONAL LTD.,ULTIMA SA SWITZERLAND,WOS,SWITZERLAND,MANUFACTURING,0,0,0.3907,0.3907
53,BLISS GVS PHARMA LIMITED,BLISS GVS INTERNATIONAL PTE LTD,WOS,SINGAPORE,MANUFACTURING,0.065,0,0,0.065
54,BV BIO CORP PVT  LTD,WAYWARD ACRES INC,JV,UNITED STATES OF AMERICA,AGRICULTURE AND MINING,0.012,0,0,0.012
55,BV BIO CORP PVT  LTD,BLUE RIDGE AVIAN SERVICES INC,JV,UNITED STATES OF AMERICA,AGRICULTURE AND MINING,0.01,0,0,0.01
56,C & S ELECTRIC LIMITED,C & S ELECTRIC (NANTONG) LTD,WOS,CHINA,MANUFACTURING,0.1001,0,0,0.1001
57,C G FOODS INDIA PVT LTD,CG FOODS INTERNATIONAL LIMITED,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0.14,0,0,0.14
58,CADENCE,CADENCE AUDIO S A,WOS,BRITISH VIRGIN ISLANDS,MANUFACTURING,0.1,0,0,0.1
59,CADSYS INDIA LTD,APEX ADVANCED TECHNOLOGY LLC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1.9,0,0,1.9
60,CALL EXPRESS ENGINEERING PVT LTD,CALLEX AUSTRALIA PTY LTD,JV,AUSTRALIA,CONSTRUCTION,0,0.079,0,0.079
61,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD,CAMBRIDGE TECHNOLOGY INVESTMENTS PTE. LTD.,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.06,0,0,0.06
62,CAMLIN FINE SCIENCES LTD,"CFS ANTIOXIDANTES DE MEXICO, S. A. DE C.V.",WOS,MEXICO,MANUFACTURING,1.95,0,0,1.95
63,CAMLIN FINE SCIENCES LTD,CFS NORTH AMERICA LLC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.15,0.24,0,0.39
64,CAPITAL VENTURES PRIVATE LIMITED,CAPITAL CORPORATE SINGAPORE PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0378,0,0,0.0378
65,CENTRUM LANDMARK PRIVATE LIMITED,CENTRUM METROLINK LTD,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0843,0,0,0.0843
66,CHEERS INTERACTIVE (INDIA) PVT LTD,CHEERS INTERACTIVE (NETHERLANDS) B.V.,WOS,NETHERLANDS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0279,0,0,0.0279
67,CHEMBOND CHEMICALS LIMITED,I CHEMBOND WATER SDN BHD,JV,MALAYSIA,MANUFACTURING,0.026,0,0,0.026
68,CHOCOLATE HOSPITALITY PRIVATE LIMITED,CHOCOLATE HOSPITALITY VENTURES PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.1911,0,0,0.1911
69,CINE CITY PHOTO EQUIPMENTS PVT.LTD.,MOVO FILMS INC,WOS,CANADA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.1067,0,0,0.1067
70,CINESTAAN FILM COMPANY PRIVATE LIMITED,CINESTAAN INTERNATIONAL LIMITED,WOS,UNITED KINGDOM,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.1549,0,0,0.1549
71,CITRON INFRAPROJECTS LTD,SV PITTIE GLOBAL CORORATION,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.015,0,0,0.015
72,CLASSIC OILFIELD SUPPLIES AND SERVICES PVT LTD,MIDDLE EAST ONSHORE AND OFFSHORE OIL AND GAS EQUIPMENT FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.15,0,0.15
73,CLEARSYNTH LABS LIMITED,"2469483, ONTARIO CORPORATION",WOS,CANADA,MANUFACTURING,0.0246,0,0,0.0246
74,COFFEE DAY GLOBAL LTD.,AN COFFEE DAY INTERNATIONAL LTD.,WOS,CYPRUS,AGRICULTURE AND MINING,0.0335,0,0,0.0335
75,COMVIVA TECHNOLOGIES LIMITED,TERRA PAYMENT SERVICES (NETHERLANDS) B.V.,WOS,NETHERLANDS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.6697,0,0,0.6697
76,COX & KINGS LIMITED,COX AND KINGS GLOBAL SERVICES SINGAPORE PTE LTD,WOS,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.3,0,0.3
77,COX & KINGS LIMITED,PROMETHEON ENTERPRISE LTD,WOS,UNITED KINGDOM,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,3,0,3
78,"CRI PUMPS PVT. LTD.,",BOMBAS CRI ESPANA SL,WOS,SPAIN,MANUFACTURING,0,0,1.0492,1.0492
79,CROMPTON GREAVES LTD.,CG INTERNATIONAL BV,JV,NETHERLANDS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,5.0229,0,5.0229
80,CROMPTON GREAVES LTD.,CG INTERNATIONAL HOLDINGS SINGAPORE,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.08,6.885,6.965
81,CURATIO HEALTH CARE INDIA PRIVATE LIMITED,CURATIO INC,JV,PHILIPPINES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.2,0,0,0.2
82,CURATIO HEALTH CARE INDIA PRIVATE LIMITED,CURATIO INTERNATIONAL LANKA PVT LTD,WOS,SRI LANKA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.2,0,0,0.2
83,D S KULKARNI DEVELOPERS LTD,DSK DEVELOPERS CORPORATION,WOS,UNITED STATES OF AMERICA,CONSTRUCTION,0,0.015,0,0.015
84,DAHNAY LOGISTICS PVT LTD,DAHNAY LOGISTICS LLC,JV,UNITED ARAB EMIRATES,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0408,0,0,0.0408
85,DCM SHRIRAM CONSOLIDATED LTD,BIOSEEDS HOLDINGS PTE LIMITED,JV,SINGAPORE,AGRICULTURE AND MINING,0,9.5,0,9.5
86,DEEP SURENDRAKUMAR SARAF,NICE SOFTWARE SOLUTIONS FZE,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0136,0,0,0.0136
87,DEEPA R JAIN,ORCHIDS AMERICA INC,WOS,UNITED STATES OF AMERICA,AGRICULTURE AND MINING,0.03,0,0,0.03
88,DEEPAK FASTENERS LTD,DEEPAK FASTENERS (AUSTRALIA) PTY LTD,WOS,AUSTRALIA,MANUFACTURING,0,0.035,0,0.035
89,DELTA TECHNOLOGY AND MANAGEMENT SERVICES PVT LTD,DELTA TECHNOLOGY AND MANAGAMENT SERVICES FZ LLC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0136,0,0,0.0136
90,DEVANATHAN BALAJHI,AQUILAE DIGITAL TECHNOLOGIES,WOS,GERMANY,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.014,0,0,0.014
91,DHARAMPAL SATYAPAL LTD,"DS BUSINESS AG,",WOS,SWITZERLAND,MANUFACTURING,0,2.1502,0,2.1502
92,DINDAYAL COMMODITIES PVT LTD,DINCOM FZC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,1,0,1
93,DINESHBHAI DHIRUBHAI PATEL,TILE MARINE LLC,JV,UNITED ARAB EMIRATES,MANUFACTURING,0.0292,0,0,0.0292
94,DODLA DAIRY LIMITED,DODLA HOLDINGS PTE LIMITED,WOS,SINGAPORE,MANUFACTURING,0.5,0,0,0.5
95,DVS TECHNOSOFT PRIVATE LIMITED,DVS TECHNOSOFT INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
96,E-ZEST SOLUTIONS LIMITED,E-ZEST SOLUTIONS GMBH,WOS,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.0502,0,0.0502
97,EDELWEISS FINANCIAL SERVICES LTD,EC INTERNATIONAL LTD,WOS,MAURITIUS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,55,0,55
98,EDELWEISS FINANCIAL SERVICES LTD,EDELWEISS CAPITAL SINGAPORE PTE LTD,WOS,SINGAPORE,MISCELLANEOUS,0,5,10,15
99,EIH LTD,EIH FLIGHT SERVICES LTD,WOS,MAURITIUS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",9.5,0,0,9.5
100,ELECON ENGINEERING COMPANY LIMITED,ELECON TRANSMISSION INTERNATIONAL LTD.,WOS,MAURITIUS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1.8587,0,0,1.8587
101,ELGI EQUIPMENTS LTD,ELGI EQUIPMENTS (ZHEJIANG) LIMITED,WOS,CHINA,MANUFACTURING,0,0.3,0,0.3
102,ELGI EQUIPMENTS LTD,ELGI COMPRESSORS USA INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,1.2,0,1.2
103,ELGI RUBBER COMPANY LIMITED,ELGI RUBBER COMPANY HOLDINGS B V,WOS,NETHERLANDS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.8,0,0,0.8
104,ENCARTA HEALTH VENTURES,EYEYON MEDICAL LTD,JV,ISRAEL,MANUFACTURING,0.05,0,0,0.05
105,ENKIE INTERNATIONAL PVT. LTD.,JAPAN INDIA TRADING INC,JV,JAPAN,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0042,0,0,0.0042
106,ESDEE PAINTS LIMITED,JELARAM PRIVATE LIMITED,JV,ETHIOPIA,MANUFACTURING,2.56,0,0,2.56
107,ESSAR STEEL INDIA LTD,ESSAR STEEL MIDDLE EAST FZE,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0,1.045,0,1.045
108,EXILANT TECHNOLOGIES PRIVATE LIMITED,INVENTYS TECHNOLOGIES PTE. LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.0749,0,0.0749
109,EXILANT TECHNOLOGIES PRIVATE LIMITED,EXILANT GMBH,WOS,SWITZERLAND,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.0699,0,0.0699
110,FABINDIA OVERSEAS LTD,FABINDIA INTERNATIONAL PRIVATE LIMITED,JV,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.72,0,0,0.72
111,FICUS PAX PVT LTD,FICUS PAX INTERNATIONAL FZE,JV,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.025,0,0,0.025
112,FINE FAB PVT. LTD,FINE FAB GULF TECHNICAL WORKS LLC,JV,UNITED ARAB EMIRATES,CONSTRUCTION,0.034,0,0,0.034
113,FIRSTSOURCE SOLUTIONS LTD,FIRSTSOURCE GROUP USA INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,21,21
114,FND HOTELS PVT. LTD,FANCY HOSPITALITY USA LLC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.16,0,0,0.16
115,FORBES GOKAK LTD,FORBES CONTAINER LINES LIMITED,WOS,SINGAPORE,MANUFACTURING,0,0.44,0,0.44
116,FRIGERIO CONSERVA ALLANA LIMITED,FRIGORIFICO BORAN FOODS PRIVATE LIMITED COMPANY,WOS,ETHIOPIA,MANUFACTURING,0.49,0,0,0.49
117,FUTURE CORPORATE RESOURCES LIMITED,AASK DESIGN & CONSULTING PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.075,0,0,0.075
118,GADRE MARINE EXPORT PVT. LTD,GADRE MARINE ASIA PVT.LTD,WOS,HONGKONG,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,1.7,1.7
119,GAIL (INDIA) LTD,TAPI PIPELINE COMPANY LIMITED,JV,ISLE OF MAN,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",2.65,0,0,2.65
