S.No.,NameIndianParty,NameJV/WOS,IfJV/WOS,OversCountry,MajorActivity,Equity,Loan,GurIssu,Total
120,GAMMON INDIA LIMITED,GAMMON HOLDINGS (MAURITIUS) LTD,WOS,MAURITIUS,CONSTRUCTION,0,0.002,0,0.002
121,GAMMON INDIA LIMITED,P.VAN EERD BEHEERSMAATSCHAPPIJ B.V.,WOS,NETHERLANDS,CONSTRUCTION,0,0.002,0,0.002
122,GANGULY SANJAY,LANDMARK IMPERIAL PRIVATE LIMITED,JV,SRI LANKA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.007,0,0,0.007
123,GANNON DUNKERLEY & CO.LTD.,GANNON DUNKERLEY GULF CONTRACTING LLC.,JV,QATAR,CONSTRUCTION,0,0.0343,0,0.0343
124,GENESYS INTERNATIONAL CORPORATION LIMITED.,A N VIRTUAL WORLD TECH LTD,JV,CYPRUS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.67,0,0.67
125,GERA DEVELOPMENTS PVT LTD,OUT DO INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.07,0,0,0.07
126,GLOBAL OFFSHORE SERVICES LTD,GARWARE OFFSHORE INTERNATIONAL SERVICES PTE LTD,WOS,SINGAPORE,MANUFACTURING,0,0.05,0,0.05
127,GLOBE GAS EQUIPMENTS INDUSTRY PRIVATE LIMITED,GLOBE ENERGIES PTE. LTD.,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0135,0,0,0.0135
128,GMR INFRASTRUCTURE LTD,GMR INFRASTRUCTURE[MAURITIUS] LTD,WOS,MAURITIUS,CONSTRUCTION,0,0,49,49
129,GODREJ CONSUMER PRODUCTS LTD.,GODREJ EAST AFRICA HOLDINGS LIMITED,WOS,MAURITIUS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",5.5,0,0,5.5
130,GRANULES INDIA LTD,GRANULES PHARMACEUTICALS INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,1.3,0,1.3
131,GREEN VALLEY S SHELTERS PRIVATE LIMITED,GREEN VALLEYS SHELTERS (PRIVATE) LIMITED,JV,SRI LANKA,CONSTRUCTION,0.06,0,0,0.06
132,GREENFIELD SHELTERS PRIVATE LIMITED,GALAXY METAL MANAGEMENT INC,JV,UNITED STATES OF AMERICA,MANUFACTURING,0,0.09,0,0.09
133,GREENLAM INDUSTRIES LIMITED,GREENLAM AMERICA INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,0,2,2
134,GRT JEWELLERS (INDIA) PVT LTD,GRT RETAIL INTERNATIONAL PTE LIMITED,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,2.5,2.5
135,GUJARAT FLUOROCHEMICALS LTD,GUJARAT FLUOROCHEMICALS SINGAPORE PRIVATE LIMITED,WOS,SINGAPORE,AGRICULTURE AND MINING,0.025,0,0,0.025
136,HARSH THAKKAR,DREAM IND PTE LTD,JV,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0375,0,0,0.0375
137,HARSHAD POPATBHAI MALANI,TILE MARINE LLC,JV,UNITED ARAB EMIRATES,MANUFACTURING,0.0596,0,0,0.0596
138,HARSHAD SURESHSINGH RANA,"SOLASTRO IMPORTS, SOCIEDAD LIMITADA",WOS,SPAIN,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0112,0,0,0.0112
139,HARSHAL R WATE,VAIDIKA GLOBAL TRADING FZC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0027,0,0,0.0027
140,HIMENVIRO ENVIRONMENTAL TECHNOLOGIES PVT LTD,HIMENVIRO DEUTSCHLAND GMBH,WOS,GERMANY,MANUFACTURING,0.0893,0,0,0.0893
141,HIND ALUMINIUM INDUSTRIES LIMITED,HIND ALUMINIUM INDUSTRIES (KENYA) LIMITED,WOS,KENYA,MANUFACTURING,0,0.17,0,0.17
142,HIND ALUMINIUM INDUSTRIES LIMITED,ASSOCIATED INDUSTRIES LTD SFZ,WOS,OMAN,MANUFACTURING,0,0.15,0,0.15
143,HINDUSTAN CLEANENERGY LIMITED,ENERTEC TRADING FZE,WOS,UNITED ARAB EMIRATES,CONSTRUCTION,0,17.5,0,17.5
144,HIVE INFOTECH PRIVATE LIMITED,MAGNA INDUSTRIES HOLDING BV,WOS,NETHERLANDS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.048,0,0,0.048
145,I G PETROCHEMICALS LIMITED,IGPL(FZE),WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.451,0,0.451
146,IDCUBE IDENTIFICATION SYSTEMS PVT LTD,IDCUBE FZE,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0136,0,0,0.0136
147,IFB AUTOMOTIVE PVT LTD,GLOBAL AUTOMOTIVE & APPLIANCES PTE. LTD.,WOS,SINGAPORE,MANUFACTURING,0,0,0.5457,0.5457
148,IL & FS TAMIL NADU POWER COMPANY LIMITED,ILFS MARITIME OFFSHOE PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1,0,0,0.1
149,IL & FS TECHNOLOGIES LIMITED,ITL INFRASOFT DMCC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.145,0,0.145
150,IMPARTUS INNOVATIONS PRIVATE LIMITED,IMPARTUS INNOVATIONS LLC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.076,0,0,0.076
151,IN2IT TECHNOLOGIES PRIVATE LIMITED,IN2IT TECHNOLOGIES PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.05,0,0.05
152,INDAGRO FOODS PRIVATE LIMITED,FRIGORIFICO BORAN FOODS PRIVATE LIMITED COMPANY,WOS,ETHIOPIA,MANUFACTURING,0.49,0,0,0.49
153,INDEGENE LIFESYSTEMS P LTD,INDEGENE SKURA INC,WOS,CANADA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.35,0,0,0.35
154,INDEGENE LIFESYSTEMS P LTD,INDEGENE LIFESYSTEM CONSULTING (SHANGHAI) CO. LTD,WOS,CHINA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.25,0,0.25
155,INDEGENE LIFESYSTEMS P LTD,SKURA INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.15,0,0,0.15
156,INDIABULLS REAL ESTATE LTD,SHOXELL HOLDINGS LIMITED,WOS,CYPRUS,CONSTRUCTION,7.5679,0,0,7.5679
157,INDIABULLS REAL ESTATE LTD,CENTURY LIMITED,WOS,JERSEY,CONSTRUCTION,9,0,0,9
158,INDO COUNT INDUSTRIES LIMITED,INDO COUNT GLOBAL UK LTD,WOS,UNITED KINGDOM,MANUFACTURING,0.0774,0,0,0.0774
159,INDRAPRASTHA SHELTERS PRIVATE LIMITED,BUDEASE LLC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.005,0,0,0.005
160,INFINX SERVICES PVT  LTD,TIS INTERNATIONAL INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.1,0,0.1
161,INFOBEANS TECHNOLOGIES LIMITED,INFOBEANS TECHNOLOGIES EUROPE GMBH,WOS,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0977,0,0,0.0977
162,INFOBEANS TECHNOLOGIES LIMITED,INFOBEANS TECHNOLOGIES DMCC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0136,0,0,0.0136
163,INFOCEPTS TECHNOLOGIES PVT LTD,INFOCEPTS PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.0749,0,0.0749
164,INFOSYS BPO LTD,INFOSYS BPO AMERICAS LLC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1,0,0,1
165,INFOSYS LTD,TRIFACTA INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",4,0,0,4
166,INI FARMS PRIVATE LIMITED,INI FARMS DMCC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,1.5,1.5
167,INNOVATES SPARKS,ZAPTY INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.007,0,0.007
168,INOX INDIA LTD,CRYOGENIC VESSEL ALTERNATIVES INC. ,JV,UNITED STATES OF AMERICA,MANUFACTURING,0,0.35,0,0.35
169,INTAS PHARMACEUTICALS LTD,ACCORD HEALTHCARE NZ LTD,WOS,NEW ZEALAND,MANUFACTURING,0.0621,0,0,0.0621
170,INTAS PHARMACEUTICALS LTD,ACCORD HEALTHCFARE INC.,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,0,10,10
171,INTECH SYSTEMS PVT LTD,CYANSYS-INTECH PRIVATE LIMITED,JV,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0337,0,0,0.0337
172,INTOUCH SYSTEMS PVT LTD,INTOUCH SYSTEMS GMBH,WOS,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.014,0,0,0.014
173,IPE GLOBAL LIMITED,IPE GLOBAL (AFRICA) LIMITED,WOS,KENYA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.1549,0,0.1549
174,ISC PROCESSORS P LTD,"ISC ENTERPRISE SDN , BHD",WOS,MALAYSIA,MANUFACTURING,0.02,0,0,0.02
175,ISOL SYSTEMS PRIVATE LIMITED,OCD LAB LLC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1,0,0,0.1
176,ITELLIGENCE INDIA SOFTWARE SOLUTIONS PRIVATE LIMITED,ITELLIGENCE SOFTWARE SOLUTIONS WLL,JV,QATAR,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.0549,0,0.0549
177,ITSHASTRA INDIA PRIVATE LIMITED,FAME TECHNOLOGY SOLUTIONS WLL,JV,BAHRAIN,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1,0,0,1
178,J R METAL CHENNAI LIMITED,J R METAUX MG SRLU,WOS,REPUBLIC OF MADAGASCAR,MANUFACTURING,0.1,0,0,0.1
179,J.B.F. INDUSTRIES LTD.,JBF GLOBAL P LTD,WOS,SINGAPORE,MANUFACTURING,0,2.6,0,2.6
180,JAIN FARM FRESH FOODS LIMITED,JAIN INTERNATIONAL FOODS LTD,WOS,UNITED KINGDOM,MANUFACTURING,0,0,33,33
181,JAINA MARKETING AND ASSOCIATES,COMTECH INTERNATIONAL LTD,JV,HONGKONG,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",1.7699,0,0,1.7699
182,JAMBOREE EDUCATION PVT LTD,JAMBOREE EDUCATION PTE LTD,WOS,SINGAPORE,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.0225,0,0,0.0225
183,JASH ENGINEERING  LTD.,MAHR MASCHINENBAU GES.M.B.H.,WOS,AUSTRIA,MANUFACTURING,0,0.0279,0,0.0279
184,JASMIN INFOTECH PVT  LTD,JASMIN INFOTECH (SHANGHAI) CO. LTD.,WOS,CHINA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.055,0,0,0.055
185,JAYARAMAN MADHAN MOHAN,J MADHAN MOHAN,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.05,0,0,0.05
186,JAYPEE BROS MEDICAL PUBLISHERS PVT LTD,JAYPEE MEDICAL INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,0.0572,0,0.0572
187,JAYPEE BROTHERS MEDICAL PUBLISHERS P LTD,JP MEDICAL LTD,WOS,UNITED KINGDOM,MANUFACTURING,0,0.0465,0,0.0465
188,JETSYNTHESYS PRIVATE LIMITED,JETSYNTHESYS INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.1,0,0,0.1
189,JINDAL SAW LTD,JINDAL SAW HOLDINGS FZE,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0,5,0,5
190,JMT AUTO LIMITED,AMTEK MACHINING SYSYTEMS PTE. LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.0519,0,0.0519
191,JSW STEEL LTD,INVERSIONES EUROSH LTD,JV,CHILE,MANUFACTURING,0,0.1,0,0.1
192,JSW STEEL LTD,JSW NATURAL RESOURCES LTD,WOS,MAURITIUS,MANUFACTURING,0,0.05,0,0.05
193,JSW STEEL LTD,JSW STEEL HOLDING (USA) INC,JV,UNITED STATES OF AMERICA,MANUFACTURING,0,28.847,52.5,81.347
194,K MOHAN AND COMPANY EXPORTS PVT LTD,PRM FASHIONS PRIVATE LIMITED,WOS,BANGLADESH,MANUFACTURING,0.085,0,0,0.085
195,KAHANKRUPA QUARRY WORKS,KAHANKRUPA LIMITED LIABILITY COMPANY,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.5,0,0,0.5
196,KAIRAV MANAGEMENT CONSULTANCY PRIVATE LIMITED,MK2 TECHNOLOGIES LIMITED,WOS,HONGKONG,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,2.233,2.233
197,KALEESUWARI REFINERY PVT  LTD,"KALEESUWARI INTERCONTINENTAL PTE LTD.,",WOS,SINGAPORE,MANUFACTURING,0,0,0.5,0.5
198,KANORIA CHEMICALS & INDUSTRIES LTD.,KANORIA AFRICA TEXTILE PLC,JV,ETHIOPIA,MANUFACTURING,0,1,0,1
199,KARAN SEHGAL,OZONE WEST WELLNESS LTD,WOS,CANADA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0985,0,0,0.0985
200,KARLE INTERNATIONAL PVT LTD,VESTIS GARMENT PRODUCTION PLC,WOS,ETHIOPIA,MANUFACTURING,0.025,0,0,0.025
201,KARLE INTERNATIONAL PVT LTD,KAIROS TEXTILE DWC-LLC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.075,0,0,0.075
202,KARVY GOBAL SERVICES LTD,KARVY GLOBAL SERVICES INC.,WOS,UNITED STATES OF AMERICA,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.05,0,0,0.05
203,KAUL BUILDERS AND DEVELOPERS PVT.LTD.,KAUL BUILDERS AND DEVELOPERS (UK) PRIVATE LIMITED,WOS,UNITED KINGDOM,CONSTRUCTION,0.1487,0.6196,0,0.7683
204,KEC INTERNATIONAL LTD.,KEC INVESTMENT HOLDINGS,WOS,MAURITIUS,CONSTRUCTION,0,2.09,5,7.09
205,KELLTON TECH SOLUTION LIMITED,KELLTON TECH SOLUTIONS INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.3036,0,0,0.3036
206,KESHAV KAILAS AGRAWAL,PHOENIX INDUSTRIES PRIVATE LIMITED COMPANY,JV,ETHIOPIA,MANUFACTURING,0.025,0,0,0.025
207,KETAN KASHINATH MANE,VAIDIKA GLOBAL TRADING FZC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0245,0,0,0.0245
208,KHANDELIA OIL & GENERAL MILLS PVT LTD,RYON AGRO PRODUCTS INC,WOS,CANADA,MANUFACTURING,0.2053,0,0,0.2053
209,KIC UNIVASSIST INDIA PVT LTD,UNIVASSIST INC,JV,UNITED STATES OF AMERICA,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0,0,0
210,KITEX CHILDRENSWEAR LIMITED,KITEX USA LLC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.1002,0,0,0.1002
211,KOLA INNOVATION TECHNOLOGIES DESIGN LLP,"V.A.METALS,LLC",WOS,UNITED STATES OF AMERICA,MANUFACTURING,1,0,0,1
212,KRISH COMPUSOFT SERVICES PRIVATE LIMITED,KRISH COMPUSOFT SERVICES (PTY) LTD,WOS,SOUTH AFRICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,0,0
213,KRISHNAKANT THAKUR,ALIEN ADVENTURE PTE LTD,JV,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0001,0,0,0.0001
214,KSHAUNISH JAINI,ALIEN ADVENTURE PTE LTD,JV,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.0004,0,0,0.0004
215,LAKSHMIKUMARAN & SRIDHARAN,LAKSHMIKUMARAN AND SRIDHARANU K LLP,JV,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.3098,0,0,0.3098
216,LALIT MOHAN TAYAL,ABHIJEET ANANYA PERU PROJECTS SAC,JV,PERU,AGRICULTURE AND MINING,0.0163,0,0,0.0163
217,LARSEN & TOUBRO LIMITED,LARSEN AND TURBO SAUDI ARABIA LLC,JV,SAUDI ARABIA,MANUFACTURING,0,0,136.5771,136.5771
218,LARSEN & TOUBRO LIMITED,L & T GLOBAL HOLDINGS LIMITED,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",7.9,0,0,7.9
219,LEELAJAY CAPITALS PVT LTD,ANASAZI LIMITED,JV,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.0155,0,0.0155
220,LOCUZ ENTERPRISE SOLUTIONS LIMITED,LOCUZ INC.,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.001,0,0,0.001
221,LUPIN LTD,LUPIN HOLDINGS BV,WOS,NETHERLANDS,MANUFACTURING,0,0,67.23,67.23
222,LUPIN LTD,LUPIN ATLANTIS HOLDINGS SA,WOS,SWITZERLAND,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",110,0,848,958
223,M PALLONJI LOGISTICS PRIVATE LIMITED,M. PALLONJI LOGISTICS SINGAPORE PTE LTD,WOS,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,3.42,0,3.42
224,M S RAVI VARMA,MNR TEACH TRILLION DMCC,WOS,UNITED ARAB EMIRATES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.0066,0,0,0.0066
225,M/S. INTENSE TECHNOLOGIES LIMITED.,INTENSE TECHNOLOGIES UK LIMITED,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0465,0,0,0.0465
226,M/S. INTENSE TECHNOLOGIES LIMITED.,INTENSE TECHNOLOGIES INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.03,0,0,0.03
227,MACLEODS PHARMACEUTICALS LTD,MACLEODS PHARMACEUTICALS SA(PTY)LTD.,WOS,SOUTH AFRICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.0502,0,0.0502
228,MADAN MOHAN SARAFF,KUNMING SARAFF CHINESE EDUCATIONCONSULTING CO LTD,WOS,CHINA,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.016,0,0,0.016
229,MADHUBAN TRADE STEELS PVT LTD,MULTI METALS HARBOUR PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.2,0,0,0.2
230,MAGNUM CARGO PVT LTD,MAGNUM CARGO PVT LTD,WOS,MAURITIUS,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.02,0,0.02
231,MAHAJAN INDUSTRIES PRIVATE LIMITED,PAN FOODS EUROPE B.V,WOS,NETHERLANDS,MANUFACTURING,0,0.1116,0,0.1116
232,MAHARASHTRA SEAMLESS LIMITED,MAHARASHTRA SEAMLESS (SINGAPORE) PTE. LTD.,WOS,SINGAPORE,AGRICULTURE AND MINING,0,2.5,0,2.5
233,MAHARASHTRA SEAMLESS LIMITED,INTERNOVIA NATURAL RESOURCES FZ LLE,JV,UNITED ARAB EMIRATES,AGRICULTURE AND MINING,0,0.2,0,0.2
234,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,MAHINDRA FINANCE USA LLC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1.7406,0,0,1.7406
235,MAHINDRA & MAHINDRA LTD,MAHINDRA OVERSEAS INVESTMENT COMPANY (MAURITIUS)LTD.,WOS,MAURITIUS,MANUFACTURING,0.346,0,0,0.346
236,MAHINDRA & MAHINDRA LTD,PF HOLDINGS B.V.,WOS,NETHERLANDS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",18.6808,0,0,18.6808
237,MANJIT SINGH KOHLI,DYNEMIC SUSPENSIONS PTY LTD,WOS,AUSTRALIA,MANUFACTURING,0.0032,0,0,0.0032
