Year,Planted Area (Estate) ('000) Hectare
1965,788.5
1966,770.0
1967,744.8
1968,715.1
1969,695.6
1970,677.0
1971,659.2
1972,638.0
1973,612.3
1974,596.6
1975,583.4
1976,573.1
1977,558.5
1978,541.5
1979,525.6
1980,506.1
1981,493.3
1982,481.9
1983,477.5
1984,454.8
1985,428.8
1986,399.4
1987,381.5
1988,371.1
1989,361.0
1990,348.7
1991,333.4
1992,314.1
1993,292.5
1994,275.0
1995,255.7
1996,223.9
1997,200.7
1998,179.9
1999,151.2
2000,123.8
2001,95.5
2002,84.8
2003,78.5
2004,64.4
2005,58.7
2006,54.2
2007,53.7
2008,50.9
2009,49.7
2010,49.9
2011,49.9
2012,65.9
2013,77.4
2014,80.1
 