Year,Yeild per Hectare (Estate) (Kg)
1965,937
1966,990
1967,1016
1968,1090
1969,1136
1970,1174
1971,1273
1972,1311
1973,1362
1974,1380
1975,1267
1976,1451
1977,1422
1978,1434
1979,1432
1980,1427
1981,1425
1982,1420
1983,1419
1984,1387
1985,1414
1986,1492
1987,1497
1988,1481
1989,1371
1990,1329
1991,1338
1992,1332
1993,1293
1994,1417
1995,1291
1996,1301
1997,1273
1998,1330
1999,1447
2000,1289
2001,1358
2002,1381
2003,1343
2004,1410
2005,1381
2006,1525
2007,1497
2008,1414
2009,1401
2010,1388
2011,1378
2012,1412
2013,1393
2014,1420
 